LINEUP	TM	MIN	PTS	2PTM	2PTA	2PT%	FGM	FGA	FG%	3PTM	3PTA	3PT%	FTM	FTA	FT%	OR	DR	TR	AST	TO	ST	BLK	BLKA	PF	DF	VAL	+ / -
D. DeRozan, J. Carter, C. White, P. Williams, T. Taylor	CHI	2	7	2	2	100	3	3	100	1	1	100	0	0	0	0	1	1	1	1	0	0	0	2	0	0	1
N. Vucevic, Z. LaVine, T. Craig, J. Carter, P. Williams	CHI	2	3	0	1	0	1	2	50	1	1	100	0	1	0	0	0	0	1	0	0	0	0	0	0	0	-3
D. DeRozan, T. Craig, C. White, J. Green, D. Terry	CHI	2	7	2	2	100	3	3	100	1	1	100	0	0	0	0	1	1	1	0	0	1	0	2	0	0	3
N. Vucevic, J. Carter, C. White, D. Terry, J. Phillips	CHI	2	8	2	2	100	3	3	100	1	1	100	1	1	100	0	0	0	2	0	1	0	0	2	1	0	-1
D. DeRozan, N. Vucevic, A. Dosunmu, T. Taylor, D. Terry	CHI	2	4	2	4	50	2	4	50	0	0	0	0	0	0	0	2	2	1	0	0	0	1	1	0	0	0
D. DeRozan, N. Vucevic, C. White, J. Phillips, O. Bitim	CHI	2	4	1	2	50	1	3	33.3	0	1	0	2	2	100	0	3	3	0	0	0	1	0	0	1	0	4
A. Drummond, T. Craig, J. Carter, A. Dosunmu, J. Phillips	CHI	2	3	0	3	0	1	7	14.3	1	4	25	0	0	0	2	3	5	1	0	0	0	0	2	0	0	-2
N. Vucevic, A. Drummond, T. Craig, J. Carter, C. White	CHI	2	4	2	3	66.66666667	2	3	66.7	0	0	0	0	0	0	0	2	2	1	1	0	0	1	1	0	0	-1
D. DeRozan, A. Drummond, A. Caruso, J. Carter, J. Phillips	CHI	2	6	1	2	50	2	3	66.7	1	1	100	1	1	100	0	1	1	2	1	2	0	0	0	1	0	4
D. DeRozan, N. Vucevic, A. Drummond, T. Craig, C. White	CHI	2	2	1	2	50	1	3	33.3	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	-6
N. Vucevic, T. Craig, P. Williams, A. Dosunmu, D. Terry	CHI	2	2	1	3	33.33333333	1	5	20	0	2	0	0	0	0	1	3	4	0	0	0	0	0	0	0	0	2
J. Carter, C. White, D. Terry, A. Sanogo, O. Bitim	CHI	2	1	0	1	0	0	4	0	0	3	0	1	2	50	1	2	3	0	0	0	0	1	0	1	0	-4
N. Vucevic, Z. LaVine, C. White, A. Dosunmu, T. Taylor	CHI	2	4	2	2	100	2	3	66.7	0	1	0	0	0	0	0	1	1	1	1	0	0	0	1	1	0	-3
N. Vucevic, J. Carter, A. Dosunmu, J. Phillips, O. Bitim	CHI	2	0	0	2	0	0	3	0	0	1	0	0	0	0	1	1	2	0	1	1	0	0	0	1	0	-6
N. Vucevic, J. Carter, A. Dosunmu, D. Terry, J. Phillips	CHI	2	5	1	5	20	2	6	33.3	1	1	100	0	0	0	2	2	4	2	1	1	0	0	0	0	0	3
A. Drummond, T. Craig, C. White, A. Dosunmu, D. Terry	CHI	2	2	1	2	50	1	3	33.3	0	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	-3
N. Vucevic, A. Caruso, J. Carter, C. White, O. Bitim	CHI	2	3	0	2	0	1	4	25	1	2	50	0	0	0	0	1	1	1	0	1	0	1	0	1	0	1
A. Drummond, T. Craig, C. White, J. Phillips, O. Bitim	CHI	2	1	0	2	0	0	3	0	0	1	0	1	1	100	0	2	2	0	1	0	1	0	0	1	0	-1
J. Carter, A. Dosunmu, T. Taylor, D. Terry, A. Sanogo	CHI	2	2	1	1	100	1	2	50	0	1	0	0	0	0	0	1	1	0	2	2	0	0	0	1	0	2
N. Vucevic, A. Caruso, J. Carter, A. Dosunmu, J. Phillips	CHI	2	2	1	3	33.33333333	1	3	33.3	0	0	0	0	0	0	1	3	4	0	1	0	0	0	1	2	0	0
D. DeRozan, A. Drummond, Z. LaVine, T. Craig, J. Carter	CHI	2	4	2	2	100	2	2	100	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	1	0	-2
D. DeRozan, N. Vucevic, A. Drummond, C. White, J. Green	CHI	2	0	0	3	0	0	3	0	0	0	0	0	0	0	1	1	2	0	0	0	0	0	0	0	0	-5
D. DeRozan, N. Vucevic, A. Drummond, Z. LaVine, C. White	CHI	2	5	1	2	50	2	3	66.7	1	1	100	0	1	0	0	1	1	2	1	0	1	0	1	2	0	0
C. White, J. Green, D. Terry, A. Sanogo, O. Bitim	CHI	2	7	3	5	60	3	6	50	0	1	0	1	1	100	2	1	3	1	0	1	0	0	2	1	0	5
D. DeRozan, A. Drummond, Z. LaVine, A. Caruso, C. White	CHI	2	2	1	1	100	1	1	100	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	-2
D. DeRozan, N. Vucevic, J. Carter, A. Dosunmu, T. Taylor	CHI	2	2	1	1	100	1	3	33.3	0	2	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	-1
N. Vucevic, Z. LaVine, P. Williams, A. Dosunmu, D. Terry	CHI	2	2	0	1	0	0	2	0	0	1	0	2	2	100	0	0	0	0	0	0	0	0	2	1	0	-7
A. Drummond, A. Caruso, C. White, A. Dosunmu, D. Terry	CHI	2	2	1	2	50	1	4	25	0	2	0	0	0	0	1	2	3	1	0	0	0	1	2	0	0	0
A. Drummond, C. White, J. Green, A. Dosunmu, D. Terry	CHI	2	4	2	2	100	2	2	100	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	2
A. Drummond, J. Carter, C. White, T. Taylor, D. Terry	CHI	2	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	-3
D. DeRozan, N. Vucevic, Z. LaVine, C. White, T. Taylor	CHI	2	6	2	2	100	2	3	66.7	0	1	0	2	2	100	0	0	0	2	0	0	0	0	0	1	0	-3
D. DeRozan, Z. LaVine, T. Craig, J. Carter, P. Williams	CHI	2	5	1	3	33.33333333	2	5	40	1	2	50	0	0	0	0	1	1	1	1	0	0	3	1	0	0	1
A. Drummond, Z. LaVine, T. Craig, C. White, A. Dosunmu	CHI	2	4	2	2	100	2	2	100	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2
J. Carter, T. Taylor, H. Drell, D. Terry, O. Bitim	CHI	1	5	1	1	100	2	3	66.7	1	2	50	0	0	0	0	0	0	2	0	0	0	0	1	0	0	-1
N. Vucevic, A. Dosunmu, T. Taylor, J. Phillips, O. Bitim	CHI	1	3	1	3	33.33333333	1	3	33.3	0	0	0	1	2	50	1	1	2	0	0	1	0	0	1	1	0	0
N. Vucevic, J. Green, A. Dosunmu, D. Terry, O. Bitim	CHI	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	2	2	0	1	0	0	0	1	1	0	-2
A. Drummond, J. Carter, C. White, P. Williams, J. Phillips	CHI	1	6	2	2	100	2	3	66.7	0	1	0	2	2	100	1	1	2	1	0	0	0	0	3	2	0	2
D. DeRozan, J. Carter, C. White, T. Taylor, D. Terry	CHI	1	4	2	2	100	2	3	66.7	0	1	0	0	0	0	1	1	2	0	1	0	0	0	0	1	0	1
A. Drummond, A. Caruso, T. Craig, J. Carter, A. Dosunmu	CHI	1	2	1	2	50	1	3	33.3	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	-4
T. Taylor, H. Drell, D. Terry, A. Funk, O. Bitim	CHI	1	4	2	3	66.66666667	2	3	66.7	0	0	0	0	0	0	1	1	2	1	0	0	0	0	0	0	0	4
D. DeRozan, A. Caruso, J. Carter, P. Williams, T. Taylor	CHI	1	4	2	2	100	2	4	50	0	2	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	-4
D. DeRozan, A. Drummond, T. Craig, J. Carter, P. Williams	CHI	1	2	1	3	33.33333333	1	3	33.3	0	0	0	0	0	0	0	1	1	0	1	1	0	1	1	0	0	-2
J. Carter, C. White, A. Dosunmu, T. Taylor, D. Terry	CHI	1	3	1	2	50	1	3	33.3	0	1	0	1	1	100	0	3	3	0	0	0	0	1	1	1	0	2
A. Drummond, T. Craig, C. White, D. Terry, O. Bitim	CHI	1	4	2	3	66.66666667	2	3	66.7	0	0	0	0	0	0	0	1	1	2	0	0	0	0	1	0	0	-5
A. Drummond, T. Craig, J. Carter, A. Dosunmu, D. Terry	CHI	1	2	1	1	100	1	1	100	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	-3
A. Drummond, Z. LaVine, C. White, T. Taylor, D. Terry	CHI	1	2	0	1	0	0	2	0	0	1	0	2	2	100	0	2	2	0	0	0	1	0	0	2	0	2
J. Carter, C. White, P. Williams, A. Dosunmu, D. Terry	CHI	1	7	3	3	100	3	3	100	0	0	0	1	1	100	0	0	0	2	0	0	0	0	2	1	0	2
N. Vucevic, J. Carter, C. White, A. Dosunmu, J. Phillips	CHI	1	6	3	3	100	3	3	100	0	0	0	0	1	0	0	0	0	2	0	0	1	0	1	1	0	2
A. Drummond, T. Craig, C. White, D. Terry, J. Phillips	CHI	1	3	0	1	0	1	2	50	1	1	100	0	0	0	0	0	0	1	0	0	0	1	0	0	0	-3
J. Carter, A. Dosunmu, T. Taylor, J. Phillips, A. Sanogo	CHI	1	5	1	1	100	2	2	100	1	1	100	0	0	0	0	0	0	1	1	1	1	0	0	0	0	3
A. Drummond, A. Caruso, T. Craig, A. Dosunmu, O. Bitim	CHI	1	2	0	0	0	0	1	0	0	1	0	2	2	100	0	0	0	0	0	0	0	0	1	1	0	-5
A. Drummond, Z. LaVine, A. Caruso, J. Carter, C. White	CHI	1	2	1	2	50	1	2	50	0	0	0	0	0	0	1	1	2	0	1	1	0	0	1	0	0	-1
D. DeRozan, A. Drummond, A. Caruso, A. Dosunmu, J. Phillips	CHI	1	6	2	2	100	2	2	100	0	0	0	2	2	100	0	0	0	0	0	0	0	0	0	2	0	4
D. DeRozan, N. Vucevic, A. Dosunmu, J. Phillips, O. Bitim	CHI	1	2	1	2	50	1	2	50	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	-4
T. Craig, C. White, P. Williams, A. Dosunmu, D. Terry	CHI	1	5	1	1	100	2	3	66.7	1	2	50	0	0	0	0	1	1	2	0	0	0	0	1	0	0	0
J. Carter, C. White, T. Taylor, D. Terry, J. Phillips	CHI	1	3	0	1	0	1	3	33.3	1	2	50	0	0	0	0	1	1	1	0	1	0	1	2	1	0	2
N. Vucevic, T. Craig, C. White, J. Green, D. Terry	CHI	1	5	1	2	50	2	3	66.7	1	1	100	0	0	0	0	0	0	2	0	0	0	0	1	0	0	1
D. DeRozan, A. Drummond, A. Caruso, J. Green, D. Terry	CHI	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	-2
D. DeRozan, N. Vucevic, A. Caruso, T. Craig, J. Phillips	CHI	1	4	1	3	33.33333333	1	4	25	0	1	0	2	2	100	1	1	2	1	0	1	0	0	0	1	0	2
J. Carter, P. Williams, A. Dosunmu, D. Terry, J. Phillips	CHI	1	5	1	1	100	2	2	100	1	1	100	0	0	0	0	1	1	0	0	0	1	0	0	0	0	2
N. Vucevic, A. Drummond, J. Carter, C. White, O. Bitim	CHI	1	2	1	1	100	1	2	50	0	1	0	0	0	0	0	2	2	1	1	0	0	1	1	0	0	-1
J. Carter, A. Dosunmu, T. Taylor, D. Terry, O. Bitim	CHI	1	7	2	2	100	3	3	100	1	1	100	0	0	0	0	2	2	3	0	0	0	0	1	0	0	4
N. Vucevic, Z. LaVine, A. Caruso, T. Craig, P. Williams	CHI	1	3	1	1	100	1	2	50	0	1	0	1	1	100	0	2	2	1	1	1	0	0	1	1	0	-1
D. DeRozan, J. Carter, J. Green, D. Terry, A. Sanogo	CHI	1	2	1	2	50	1	3	33.3	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	-3
J. Carter, C. White, H. Drell, A. Sanogo, O. Bitim	CHI	1	2	1	1	100	1	2	50	0	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0
A. Drummond, Z. LaVine, C. White, P. Williams, D. Terry	CHI	1	5	1	1	100	2	2	100	1	1	100	0	0	0	0	0	0	1	1	0	0	0	1	0	0	1
A. Drummond, Z. LaVine, P. Williams, A. Dosunmu, D. Terry	CHI	1	2	1	2	50	1	2	50	0	0	0	0	0	0	0	1	1	1	0	0	0	0	2	1	0	-5
D. DeRozan, N. Vucevic, C. White, J. Green, D. Terry	CHI	1	2	1	3	33.33333333	1	5	20	0	2	0	0	0	0	4	0	4	0	1	0	0	1	1	0	0	0
D. DeRozan, A. Drummond, J. Carter, C. White, J. Green	CHI	1	2	1	1	100	1	1	100	0	0	0	0	0	0	0	2	2	1	1	0	0	0	0	1	0	2
T. Craig, J. Carter, D. Terry, A. Sanogo, A. Funk	CHI	1	5	0	0	0	1	1	100	1	1	100	2	2	100	0	1	1	1	0	0	0	0	0	2	0	2
T. Taylor, D. Terry, A. Sanogo, A. Funk, O. Bitim	CHI	1	4	2	3	66.66666667	2	3	66.7	0	0	0	0	0	0	1	2	3	1	0	0	0	1	0	0	0	4
D. DeRozan, N. Vucevic, A. Drummond, T. Craig, A. Dosunmu	CHI	1	2	1	2	50	1	2	50	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	-4
N. Vucevic, A. Caruso, T. Craig, J. Carter, O. Bitim	CHI	1	0	0	1	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
D. DeRozan, N. Vucevic, A. Dosunmu, T. Taylor, J. Phillips	CHI	1	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	-4
D. DeRozan, N. Vucevic, A. Drummond, A. Dosunmu, D. Terry	CHI	1	4	2	2	100	2	3	66.7	0	1	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	1
D. DeRozan, A. Caruso, J. Carter, C. White, P. Williams	CHI	1	0	0	1	0	0	2	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	-2
N. Vucevic, A. Drummond, A. Caruso, A. Dosunmu, D. Terry	CHI	1	2	1	3	33.33333333	1	4	25	0	1	0	0	1	0	2	0	2	1	0	0	0	2	0	1	0	0
N. Vucevic, C. White, P. Williams, A. Dosunmu, J. Phillips	CHI	1	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	-3
A. Drummond, Z. LaVine, A. Caruso, T. Craig, C. White	CHI	1	0	0	1	0	0	2	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	-3
J. Carter, H. Drell, D. Terry, A. Sanogo, A. Funk	CHI	1	0	0	2	0	0	2	0	0	0	0	0	0	0	0	2	2	0	0	0	1	1	0	0	0	0
T. Craig, J. Carter, C. White, D. Terry, O. Bitim	CHI	1	2	1	1	100	1	2	50	0	1	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	-1
D. DeRozan, N. Vucevic, T. Craig, C. White, O. Bitim	CHI	1	2	1	1	100	1	1	100	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
N. Vucevic, A. Caruso, A. Dosunmu, T. Taylor, J. Phillips	CHI	1	3	0	1	0	1	2	50	1	1	100	0	0	0	0	1	1	1	0	0	1	1	1	0	0	1
N. Vucevic, C. White, A. Dosunmu, D. Terry, O. Bitim	CHI	1	2	1	1	100	1	1	100	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	-3
A. Drummond, C. White, P. Williams, D. Terry, J. Phillips	CHI	1	2	1	1	100	1	1	100	0	0	0	0	0	0	0	1	1	0	0	0	0	0	2	0	0	-2
D. DeRozan, J. Carter, C. White, T. Taylor, J. Phillips	CHI	1	3	0	1	0	1	3	33.3	1	2	50	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1
D. DeRozan, N. Vucevic, A. Caruso, T. Taylor, J. Phillips	CHI	1	0	0	1	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-3
A. Drummond, J. Carter, P. Williams, A. Dosunmu, D. Terry	CHI	1	4	2	2	100	2	3	66.7	0	1	0	0	0	0	1	1	2	1	0	0	1	0	1	0	0	3
N. Vucevic, Z. LaVine, C. White, T. Taylor, D. Terry	CHI	1	3	1	1	100	1	1	100	0	0	0	1	2	50	0	2	2	1	0	0	0	0	0	1	0	3
A. Drummond, Z. LaVine, C. White, A. Dosunmu, D. Terry	CHI	1	4	1	2	50	1	2	50	0	0	0	2	2	100	1	1	2	0	1	0	0	0	0	1	0	2
D. DeRozan, N. Vucevic, C. White, D. Terry, J. Phillips	CHI	1	4	1	1	100	1	1	100	0	0	0	2	2	100	0	0	0	0	0	0	0	0	1	1	0	-2
D. DeRozan, Z. LaVine, P. Williams, A. Dosunmu, J. Phillips	CHI	1	2	1	1	100	1	1	100	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1
N. Vucevic, A. Drummond, A. Dosunmu, D. Terry, O. Bitim	CHI	1	2	1	1	100	1	1	100	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0
A. Drummond, A. Caruso, C. White, A. Dosunmu, J. Phillips	CHI	1	1	0	2	0	0	3	0	0	1	0	1	2	50	1	2	3	0	0	0	0	0	1	1	0	0
A. Drummond, Z. LaVine, C. White, A. Dosunmu, T. Taylor	CHI	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-5
D. DeRozan, A. Drummond, A. Dosunmu, D. Terry, J. Phillips	CHI	1	0	0	3	0	0	4	0	0	1	0	0	0	0	3	0	3	0	1	0	0	1	0	1	0	-3
D. DeRozan, N. Vucevic, A. Caruso, J. Carter, D. Terry	CHI	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	2	0	0	0
N. Vucevic, T. Craig, C. White, D. Terry, J. Phillips	CHI	1	4	2	2	100	2	3	66.7	0	1	0	0	0	0	1	0	1	0	0	1	0	0	1	0	0	2
D. DeRozan, A. Drummond, A. Caruso, A. Dosunmu, T. Taylor	CHI	1	0	0	3	0	0	4	0	0	1	0	0	0	0	3	0	3	0	0	0	0	0	1	0	0	-2
N. Vucevic, J. Carter, C. White, P. Williams, D. Terry	CHI	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	-5
D. DeRozan, A. Drummond, C. White, T. Taylor, D. Terry	CHI	1	0	0	0	0	0	2	0	0	2	0	0	0	0	1	1	2	0	0	0	0	0	1	1	0	0
D. DeRozan, A. Drummond, J. Green, A. Dosunmu, D. Terry	CHI	1	2	1	1	100	1	2	50	0	1	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	1
D. DeRozan, Z. LaVine, A. Caruso, P. Williams, A. Dosunmu	CHI	1	0	0	1	0	0	2	0	0	1	0	0	0	0	0	1	1	0	0	0	0	1	1	0	0	-4
C. White, P. Williams, A. Dosunmu, T. Taylor, D. Terry	CHI	1	2	0	3	0	0	3	0	0	0	0	2	2	100	2	0	2	0	1	0	0	1	0	1	0	0
A. Drummond, A. Caruso, C. White, P. Williams, A. Dosunmu	CHI	1	0	0	0	0	0	2	0	0	2	0	0	0	0	0	1	1	0	0	1	0	0	1	0	0	0
T. Craig, A. Dosunmu, T. Taylor, D. Terry, O. Bitim	CHI	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
A. Drummond, C. White, T. Taylor, J. Phillips, O. Bitim	CHI	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	-3
A. Drummond, Z. LaVine, A. Caruso, C. White, A. Dosunmu	CHI	1	2	1	1	100	1	1	100	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	2
A. Drummond, Z. LaVine, J. Carter, P. Williams, D. Terry	CHI	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	-2
A. Drummond, A. Caruso, C. White, J. Green, A. Dosunmu	CHI	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	2	2	0	1	0	0	0	0	0	0	-2
D. DeRozan, N. Vucevic, A. Drummond, C. White, J. Phillips	CHI	1	4	1	2	50	1	2	50	0	0	0	2	2	100	0	0	0	1	0	0	0	1	0	1	0	1
N. Vucevic, A. Caruso, A. Dosunmu, T. Taylor, D. Terry	CHI	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	-6
N. Vucevic, A. Caruso, C. White, A. Dosunmu, J. Phillips	CHI	1	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	1	0	1	0	0	0	0	1	0	-2
D. DeRozan, A. Drummond, T. Craig, J. Carter, D. Terry	CHI	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	-3
N. Vucevic, A. Drummond, J. Carter, C. White, J. Phillips	CHI	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0
D. DeRozan, A. Drummond, A. Caruso, A. Dosunmu, O. Bitim	CHI	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	-2
N. Vucevic, T. Craig, C. White, P. Williams, D. Terry	CHI	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A. Dosunmu, T. Taylor, D. Terry, J. Phillips, A. Sanogo	CHI	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D. DeRozan, N. Vucevic, C. White, P. Williams, D. Terry	CHI	1	0	0	0	0	0	1	0	0	1	0	0	2	0	0	1	1	0	0	0	0	0	0	1	0	0
N. Vucevic, A. Caruso, J. Carter, A. Dosunmu, D. Terry	CHI	1	2	1	1	100	1	1	100	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	2
N. Vucevic, Z. LaVine, A. Caruso, J. Carter, C. White	CHI	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	-3
D. DeRozan, A. Drummond, A. Caruso, T. Craig, J. Phillips	CHI	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	1	0	0	0	0	0
N. Vucevic, A. Caruso, A. Dosunmu, J. Phillips, O. Bitim	CHI	0	2	0	1	0	0	1	0	0	0	0	2	2	100	1	0	1	0	0	0	0	0	0	1	0	2
D. DeRozan, A. Caruso, T. Craig, C. White, P. Williams	CHI	0	2	0	0	0	0	0	0	0	0	0	2	2	100	0	1	1	0	0	0	0	0	0	1	0	-1
D. DeRozan, N. Vucevic, Z. LaVine, A. Caruso, J. Carter	CHI	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	-1
A. Drummond, Z. LaVine, A. Caruso, P. Williams, A. Dosunmu	CHI	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	1	0	-2
N. Vucevic, A. Caruso, C. White, A. Dosunmu, T. Taylor	CHI	0	3	0	0	0	1	1	100	1	1	100	0	0	0	0	0	0	1	0	0	0	0	0	1	0	3
N. Vucevic, Z. LaVine, A. Caruso, C. White, A. Dosunmu	CHI	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
A. Drummond, J. Carter, C. White, J. Green, A. Dosunmu	CHI	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	-1
D. DeRozan, A. Drummond, Z. LaVine, A. Caruso, A. Dosunmu	CHI	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
N. Vucevic, A. Drummond, T. Craig, A. Dosunmu, J. Phillips	CHI	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	-3
A. Caruso, C. White, P. Williams, A. Dosunmu, D. Terry	CHI	0	2	1	1	100	1	1	100	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	2
J. Carter, C. White, H. Drell, A. Sanogo, A. Funk	CHI	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	-3
N. Vucevic, A. Caruso, J. Carter, D. Terry, O. Bitim	CHI	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-2
C. White, A. Dosunmu, T. Taylor, D. Terry, O. Bitim	CHI	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
D. DeRozan, T. Craig, C. White, P. Williams, A. Dosunmu	CHI	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	-2
D. DeRozan, A. Caruso, T. Craig, J. Carter, C. White	CHI	0	3	0	0	0	1	1	100	1	1	100	0	0	0	0	0	0	1	0	1	0	0	0	0	0	3
D. DeRozan, A. Drummond, Z. LaVine, C. White, D. Terry	CHI	0	0	0	2	0	0	2	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	-2
D. DeRozan, A. Drummond, Z. LaVine, J. Carter, C. White	CHI	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
A. Drummond, A. Caruso, T. Craig, A. Dosunmu, J. Phillips	CHI	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A. Drummond, A. Caruso, J. Carter, D. Terry, O. Bitim	CHI	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	-3
A. Drummond, T. Craig, J. Carter, C. White, A. Dosunmu	CHI	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
N. Vucevic, J. Carter, A. Dosunmu, T. Taylor, D. Terry	CHI	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	-2
D. DeRozan, Z. LaVine, A. Caruso, T. Craig, C. White	CHI	0	2	1	2	50	1	2	50	0	0	0	0	1	0	1	0	1	0	0	1	0	0	2	2	0	-1
D. DeRozan, A. Caruso, T. Craig, C. White, A. Dosunmu	CHI	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	-7
A. Drummond, T. Craig, C. White, A. Dosunmu, O. Bitim	CHI	0	1	0	0	0	0	0	0	0	0	0	1	2	50	0	0	0	0	0	0	0	0	0	1	0	1
N. Vucevic, Z. LaVine, A. Caruso, A. Dosunmu, D. Terry	CHI	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	-3
A. Drummond, A. Caruso, J. Carter, A. Dosunmu, O. Bitim	CHI	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
D. DeRozan, Z. LaVine, J. Carter, C. White, P. Williams	CHI	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D. DeRozan, A. Caruso, J. Carter, C. White, D. Terry	CHI	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
D. DeRozan, N. Vucevic, A. Drummond, A. Caruso, O. Bitim	CHI	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
N. Vucevic, A. Caruso, T. Craig, P. Williams, A. Dosunmu	CHI	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	-2
