LINEUP	TM	MIN	PTS	2PTM	2PTA	2PT%	FGM	FGA	FG%	3PTM	3PTA	3PT%	FTM	FTA	FT%	OR	DR	TR	AST	TO	ST	BLK	BLKA	PF	DF	VAL	+ / -
T. Young, G. Mathews, V. Krejci, A. Griffin, M. Gueye	ATL	5	14	3	5	60	5	11	45.5	2	6	33.3	2	2	100	1	1	2	1	2	1	1	1	1	1	0	-8
P. Mills, B. Fernando, G. Mathews, T. Forrest, A. Griffin	ATL	5	14	2	4	50	5	8	62.5	3	4	75	1	1	100	1	2	3	2	2	0	0	0	2	1	0	-2
B. Bogdanovic, D. Hunter, O. Okongwu, T. Forrest, J. Johnson	ATL	5	13	4	6	66.66666667	5	9	55.6	1	3	33.3	2	2	100	1	3	4	4	0	0	0	0	1	1	0	-2
P. Mills, B. Bogdanovic, D. Murray, O. Okongwu, J. Johnson	ATL	5	12	2	5	40	4	10	40	2	5	40	2	2	100	0	4	4	4	0	0	0	0	2	2	0	1
W. Matthews, C. Capela, D. Murray, T. Young, J. Johnson	ATL	5	13	2	3	66.66666667	5	7	71.4	3	4	75	0	0	0	0	4	4	3	2	0	0	0	1	2	0	-2
D. Murray, D. Hunter, G. Mathews, O. Okongwu, V. Krejci	ATL	5	10	5	8	62.5	5	9	55.6	0	1	0	0	0	0	0	3	3	4	0	0	0	0	3	1	0	-2
D. Murray, B. Fernando, D. Windler, G. Mathews, T. Forrest	ATL	5	11	1	4	25	4	8	50	3	4	75	0	0	0	0	1	1	3	3	0	0	0	6	0	0	-12
W. Matthews, C. Capela, B. Bogdanovic, D. Murray, J. Johnson	ATL	5	7	2	6	33.33333333	3	10	30	1	4	25	0	0	0	1	5	6	3	2	2	1	2	0	1	0	3
B. Bogdanovic, T. Young, D. Hunter, O. Okongwu, A. Griffin	ATL	5	8	1	4	25	1	5	20	0	1	0	6	6	100	0	1	1	1	2	0	1	0	1	3	0	-16
B. Bogdanovic, B. Fernando, G. Mathews, T. Forrest, V. Krejci	ATL	4	5	1	5	20	2	7	28.6	1	2	50	0	0	0	0	3	3	2	1	1	0	2	1	1	0	-5
P. Mills, D. Murray, D. Hunter, O. Okongwu, T. Forrest	ATL	4	12	2	4	50	4	7	57.1	2	3	66.7	2	2	100	0	2	2	3	1	1	0	0	2	2	0	1
B. Bogdanovic, D. Murray, B. Fernando, V. Krejci, J. Johnson	ATL	4	9	3	6	50	4	8	50	1	2	50	0	0	0	2	2	4	2	3	0	0	2	3	0	0	-8
B. Fernando, G. Mathews, V. Krejci, A. Griffin, K. Bufkin	ATL	4	12	3	6	50	5	9	55.6	2	3	66.7	0	0	0	0	2	2	1	2	0	0	2	1	0	0	2
B. Bogdanovic, B. Fernando, T. Young, A. Griffin, M. Gueye	ATL	4	7	2	4	50	3	7	42.9	1	3	33.3	0	0	0	0	5	5	2	1	0	0	0	1	1	0	3
D. Murray, D. Hunter, O. Okongwu, S. Bey, J. Johnson	ATL	4	9	4	5	80	4	8	50	0	3	0	1	1	100	0	3	3	4	1	0	1	1	6	1	0	-6
